policy_family,tag,title,n_seeds,last_value_mean,last_value_std,last_value_min,last_value_max
Baseline,rewards/iter,Total Reward per Iteration,5,113.819189453125,6.2147275483717985,108.59466552734375,124.56425476074219
Baseline,Episode/Episode_Reward/lifting_object,Lifting Object Reward,5,12.905385208129882,0.126589883657738,12.775519371032715,13.064563751220703
Baseline,Episode/Episode_Reward/reaching_object,Reaching Object Reward,5,0.7704717874526977,0.014681241762391668,0.7564937472343445,0.7936596870422363
Baseline,Episode/Episode_Reward/action_rate,Action Rate Penalty,5,-1.8384588599205016,0.8970871349946039,-2.819917678833008,-0.45477622747421265
Baseline,Episode/Episode_Reward/joint_vel,Joint Velocity Penalty,5,-2.147447204589844,0.16318178165668426,-2.405578136444092,-1.9520301818847656
Baseline,Episode/Curriculum/action_rate,Curriculum: Action Rate Weight,5,-0.10000000894069672,0.0,-0.10000000894069672,-0.10000000894069672
Baseline,Episode/Curriculum/joint_vel,Curriculum: Joint Velocity Weight,5,-0.10000000894069672,0.0,-0.10000000894069672,-0.10000000894069672
Baseline,Episode/Episode_Reward/object_goal_tracking,Object Goal Tracking,5,11.340714645385741,0.9699517207439664,9.731086730957031,12.246081352233887
Baseline,Episode/Episode_Reward/object_goal_tracking_fine_grained,Object Goal Tracking Fine Grained,5,1.6835451126098633,0.534540309597707,0.8881139755249023,2.3037986755371094
Baseline,rewards/step,Step,5,113.819189453125,6.2147275483717985,108.59466552734375,124.56425476074219
Baseline,rewards/time,Time,5,113.819189453125,6.2147275483717985,108.59466552734375,124.56425476074219
